Sensor Id,Updated Timestamp,Updated Value,Anomalous Reading 
sensor_5,2025-06-05T13:08:48+05:30,12.864,false
sensor_2,2025-06-05T12:28:48+05:30,20.968999999999998,false
sensor_4,2025-06-05T12:23:48+05:30,19.596,false
sensor_5,2025-06-05T12:13:48+05:30,14.811000000000002,false
sensor_1,2025-06-05T11:38:48+05:30,12.514,true
sensor_5,2025-06-05T13:48:48+05:30,27.79,false
sensor_5,2025-06-05T13:28:48+05:30,27.560000000000002,false
sensor_1,2025-06-05T12:43:48+05:30,28.8065,false
sensor_3,2025-06-05T12:08:48+05:30,25.310499999999998,false
sensor_5,2025-06-05T12:03:48+05:30,26.099,false
sensor_4,2025-06-05T11:53:48+05:30,30.794,false
sensor_4,2025-06-05T13:23:48+05:30,29.551000000000002,false
sensor_2,2025-06-05T11:28:48+05:30,23.358000000000004,false
sensor_3,2025-06-05T13:13:48+05:30,32.6255,false
sensor_1,2025-06-05T12:53:48+05:30,30.316999999999997,false
sensor_2,2025-06-05T13:43:48+05:30,15.9435,true
sensor_5,2025-06-05T13:33:48+05:30,27.648000000000003,false
sensor_5,2025-06-05T12:48:48+05:30,30.453000000000003,false
sensor_5,2025-06-05T12:38:48+05:30,29.8705,false
sensor_2,2025-06-05T12:18:48+05:30,36.239000000000004,false
sensor_2,2025-06-05T11:58:48+05:30,23.8475,false
sensor_4,2025-06-05T11:33:48+05:30,24.975,false
sensor_4,2025-06-05T11:23:48+05:30,35.81,false
sensor_5,2025-06-05T11:48:48+05:30,21.07,false
sensor_4,2025-06-05T13:18:48+05:30,27.514499999999998,false
sensor_5,2025-06-05T13:03:48+05:30,15.174000000000001,false
sensor_2,2025-06-05T12:58:48+05:30,17.341,false
sensor_4,2025-06-05T12:33:48+05:30,14.955499999999999,true
sensor_1,2025-06-05T11:43:48+05:30,28.825000000000003,false
